payers_name,payer_edrpou,amount,recipt_name,recipt_edrpou,trans_date,payment_details
Департамент ЖКГ,03365707,2525,Департамент ЖКГ,03365707,2021-04-12,"1216011;2240;відр.на утр.від тех.нагл.за посл.з пот.рем.прибуд.тер.ж/б в.В.Морська, 78 в м.Мик;згід.звед.кошт.розр.за 03.2021;БезПДВ."
Департамент ЖКГ,03365707,98.66,Департамент ЖКГ,03365707,2021-04-12,"1216016;2240;відрах.на утрим.від.технагляду за посл. поточ.рем.прил.обл.тепл.енер.в ж/б по вул.Громадянська,44 у м.Мик.;згід.звед.кошт.розр.за 01.2021;Без ПДВ."
ММВУВД ФССУ В МИКОЛАЇВСЬКІЙ ОБЛАСТІ,41416805,32218.58,ДЕПАРТАМЕНТ ЖКГ,03365707,2021-04-21,";;Допомога по ТВП КЕКВ xxxx; згідно заяви-розрахунка  №xxxx 02.03.xxxx р. зг. ЄР 58 ,ЗР 58  ;без ПДВ."
Департамент ЖКГ,03365707,42.62,Департамент ЖКГ,03365707,2021-04-16,"1216016;2240;відр.на утрим.від.технагляду за посл. поточ.рем.прил.обл.тепл.енер.в ж/б по пр.Центральний,177 у м.Мик.;згід.звед.кошт.роз.за 04.2021;Без ПДВ."
Департамент ЖКГ,03365707,153.54,Департамент ЖКГ,03365707,2021-04-16,"1216016;2240;відр.на утрим.від.технагляду за посл. поточ.рем.прил.обл.тепл.енер.в ж/б по вул.Привільна,43а у м.Мик.;згід.звед.кошт.роз.за 04.2021;Без ПДВ."
Департамент ЖКГ,03365707,105.45,Департамент ЖКГ,03365707,2021-04-16,"1216016;2240;відр.на утрим.від.технагляду за посл. поточ.рем.прил.обл.тепл.енер.в ж/б по в.Колодязна,10(1-3 під.)у м.Мик.;згід.звед.кошт.роз.за 04.2021;Без ПДВ."
Департамент ЖКГ,03365707,121.49,Департамент ЖКГ,03365707,2021-04-16,"1216016;2240;відр.на утрим.від.технагляду за посл. поточ.рем.прил.обл.тепл.енер.в ж/б по вул.Озерна,3 у м.Мик.;згід.звед.кошт.роз.за 04.2021;Без ПДВ."
Департамент ЖКГ,03365707,54.72,Департамент ЖКГ,03365707,2021-04-16,"1216016;2240;відр.на утрим.від.технагляду за посл. поточ.рем.прил.обл.тепл.енер.в ж/б по вул.Лазурна,16а у м.Мик.;згід.звед.кошт.роз.за 04.2021;Без ПДВ."
Департамент ЖКГ,03365707,64.73,Департамент ЖКГ,03365707,2021-04-16,"1216016;2240;відр.на утрим.від.технагляду за посл. поточ.рем.прил.обл.тепл.енер.в ж/б по вул.Знам'янська,41 у м.Мик.;згід.звед.кошт.роз.за 04.2021;Без ПДВ."
Департамент ЖКГ,03365707,90.35,Департамент ЖКГ,03365707,2021-04-16,"1216016;2240;відр.на утрим.від.технагляду за посл. поточ.рем.прил.обл.тепл.енер.в ж/б по вул.Казарського,1/6 у м.Мик.;згід.звед.кошт.роз.за 04.2021;Без ПДВ."
